,dr2_source_id,dr3_source_id,Cluster,plx_cluster,e_plx_cluster,SimbadName_cluster,skymapper_id,sdss_id,twomass_id,allwise_id,ra2000,dec2000,gmag,bpmag,dr2_bp_flux_over_error,rpmag,dr2_rp_flux_over_error,parallax,parallax_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_n_obs,gmag_edr3,bpmag_edr3,rpmag_edr3,r_lo_geo,r_med_geo,r_hi_geo,r_lo_photogeo,r_med_photogeo,r_hi_photogeo,objid_FUV,FUVmag,e_FUVmag,Fafl,objid_NUV,NUVmag,e_NUVmag,Nafl,psfMag_uSDSS,psfMagErr_uSDSS,psfMag_gSDSS,psfMagErr_gSDSS,psfMag_rSDSS,psfMagErr_rSDSS,psfMag_iSDSS,psfMagErr_iSDSS,psfMag_zSDSS,psfMagErr_zSDSS,u_flags,u_nimaflags,u_ngood,u_psf,e_u_psf,v_flags,v_nimaflags,v_ngood,v_psf,e_v_psf,g_flags,g_nimaflags,g_ngood,g_psf,e_g_psf,r_flags,r_nimaflags,r_ngood,r_psf,e_r_psf,i_flags,i_nimaflags,i_ngood,i_psf,e_i_psf,z_flags,z_nimaflags,z_ngood,z_psf,e_z_psf,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,ph_qual_2MASS,rd_flg,bl_flg,cc_flg,use_src,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,cc_flags_WISE,ext_flg_WISE,ph_qual_WISE,moon_lev_WISE,asassn_name,Mean Vmag_ASASSN,amplitude_ASASSN,period_ASASSN,Type_ASASSN,class_probability_ASASSN,feh,feh_err,logg,logg_err,teff,teff_err,rv,rv_err,alpha_m,alpha_m_err,snrg,nobs,rv_discrepancy_sig,rv_discrepancy,imputed_uncertainties_flag
0,4377208708472475520,4377208708472475520,IC4665  ,2.8918,0.0034,IC4665       ,-9223372036854775808,-9223372036854775808,17402388+0354180 ,J174023.88+035417.8,265.09954465477693,3.904949302475365,10.436325,10.66331,913.6325,10.084472,844.1671,,,,1118355.7617490434,7658.414,390,10.565917,10.648712,10.074883,,,,,,,6375419375518748557,17.5001,0.0623,0,6375419375518748557,14.6363,0.0103,1,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,9.654,0.019,9.546,0.028,9.523,0.022,AAA,222,111,000,1,9.426,0.024,9.443,0.02,9.427,0.038,8.769,0.485,0000,0,AAAC,0000,                            ,,,,        ,,-0.14,0.099,3.8289999999999997,0.151,7680.06,90.91,-23.49,6.28,,,13.01,1,0.0,0.0,False
1,4473363130621414784,4473363130621414784,IC4665  ,2.8918,0.0034,IC4665       ,-9223372036854775808,-9223372036854775808,17445131+0425388 ,J174451.31+042538.8,266.21380402955833,4.427476467193992,11.269955,11.69426,832.68695,10.691562,1592.3071,2.841248981032403,0.01548628,0.8082349,585131.7191109228,110.73815,358,11.269233,11.676057,10.681096,344.92087,346.6182,348.25882,345.36975,347.40002,349.44064,6375419374442908210,,,0,6375419374442908210,16.7546,0.026,1,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,9.991,0.024,9.718,0.032,9.621,0.021,AAA,222,111,000,1,9.576,0.023,9.574,0.021,9.606,0.047,8.844,,0h00,0,AAAU,0000,                            ,,,,        ,,0.071,0.017,4.052,0.03,6791.01,22.08,-48.18,3.36,-0.064194,0.022996,119.0,1,0.0,0.0,False
2,4473661437575846912,4473661437575846912,IC4665  ,2.8918,0.0034,IC4665       ,-9223372036854775808,1237662979422945557,17444170+0514444 ,J174441.69+051444.3,266.173740802753,5.245678950814915,11.031803,11.410812,456.56195,10.493629,726.50037,2.865479125914815,0.01966163,0.9555475,727068.4935149675,124.78096,326,11.033428,11.394754,10.484793,342.68524,344.66885,346.75497,342.02567,344.21252,346.42664,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,12.8322,0.01632424,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,9.85,0.022,9.555,0.029,9.51,0.02,AAA,222,111,000,1,9.428,0.023,9.438,0.021,9.458,0.04,8.755,,0000,0,AAAU,0000,                            ,,,,        ,,-0.034,0.006,4.16,0.013000000000000001,6606.69,10.71,-19.83,1.95,-0.049832,0.024048,255.47,1,0.0,0.0,False
3,4473847293697382400,4473847293697382400,IC4665  ,2.8918,0.0034,IC4665       ,-9223372036854775808,-9223372036854775808,17474402+0521591 ,J174744.02+052159.1,266.93345050153613,5.366454070419258,13.1889105,13.692092,141.51044,12.525456,203.69855,2.856932298125368,0.013360178,1.0789253,98529.39953305548,146.5808,377,13.203452,13.696523,12.537655,344.07986,345.68954,347.25537,343.38324,345.24893,346.77075,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,11.734,0.023,11.314,0.028,11.226,0.024,AAA,222,111,000,1,11.093,0.024,11.108,0.021,11.242,0.146,8.948,,hh00,0,AABU,0000,ASASSN-V J174744.20+052158.8,13.44,0.11,0.9992811,ROT     ,0.973,0.204,0.028999999999999998,4.453,0.048,5666.17,33.76,-12.49,4.5,-0.056574,0.051166,68.7,1,0.0,0.0,False
4,4473867153626279424,4473867153626279424,IC4665  ,2.8918,0.0034,IC4665       ,-9223372036854775808,1237668572550791740,17472117+0535584 ,J174721.17+053558.3,266.8382555984409,5.599576343979195,10.795077,11.0315695,796.1467,10.432249,736.1464,2.9018218963766365,0.015801623,1.1063207,905428.4580530853,183.47818,393,10.795232,11.016422,10.4227295,339.55228,341.2399,343.2737,338.86154,341.21036,343.29092,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,12.33694,0.01580265,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,9.995,0.022,9.877,0.035,9.765,0.018,AAA,222,111,000,1,9.72,0.023,9.729,0.02,9.683,0.048,8.595,,dd00,0,AAAU,0000,                            ,,,,        ,,0.14800000000000002,0.006999999999999999,3.862,0.017,7508.499999999999,13.52,-24.89,2.46,,,360.44,1,0.0,0.0,False
5,4473877014871376640,4473877014871376640,IC4665  ,2.8918,0.0034,IC4665       ,-9223372036854775808,1237662980496950351,17483202+0537078 ,J174832.02+053707.8,267.1334319336276,5.618851262534419,12.533485,12.962326,238.31406,11.947041,293.83502,2.929979036064244,0.022199243,1.3941629,186812.61407471524,177.87741,356,12.508851,12.919591,11.917261,336.3958,339.5219,341.9826,336.13455,338.49377,340.60608,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,14.47442,0.01497825,,,,,,,12.15683,0.01282949,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,11.182,0.019,10.849,0.023,10.763,0.021,AAA,222,111,000,1,10.679,0.024,10.672,0.021,10.793,0.127,8.432,,0000,0,AABU,0000,                            ,,,,        ,,0.057999999999999996,0.032,4.254,0.053,5944.54,37.3,-19.91,4.98,-0.172398,0.027908999999999996,62.12,1,0.0,0.0,False
6,4473891201145119232,4473891201145119232,IC4665  ,2.8918,0.0034,IC4665       ,-9223372036854775808,1237668572550792133,17473582+0538557 ,J174735.82+053855.7,266.8992936929315,5.648832811891561,13.387852,13.854237,92.36124,12.740708,135.87148,2.7816703902715343,0.0134038655,0.9555907,87423.76949715291,214.07584,344,13.333293,13.794116,12.695083,353.1284,354.7493,356.32098,353.21466,354.86652,356.81866,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,15.76177,0.01629357,14.11141,0.01037524,,,,,12.9432,0.01161539,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,11.964,0.022,11.565,0.032,11.422,0.019,AAA,222,111,000,1,11.378,0.023,11.414,0.021,11.234,0.164,8.889,,hh00,0,AABU,0000,                            ,,,,        ,,0.135,0.027000000000000003,4.489,0.044000000000000004,5569.11,30.67,-17.08,4.18,0.066771,0.041868999999999996,46.16,1,0.0,0.0,False
7,4473895118155285248,4473895118155285248,IC4665  ,2.8918,0.0034,IC4665       ,-9223372036854775808,1237668657912414646,17480497+0548421 ,J174804.98+054841.8,267.02076592263927,5.81164486345916,13.142538,13.709993,182.67899,12.433905,266.73508,2.74345542115309,0.017317947,1.1371055,105279.69683341285,87.32834,305,13.131505,13.682809,12.420245,357.74103,360.04556,362.4473,357.19083,359.2584,361.19852,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,15.82847,0.02149173,13.9685,0.02458665,,,,,12.72903,0.08807005,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,11.488,0.023,11.035,0.03,10.865,0.026,AAA,222,111,000,1,10.812,0.023,10.839,0.02,10.666,0.118,8.885,,0000,0,AABU,0000,                            ,,,,        ,,0.161,0.039,4.527,0.064,5324.64,44.8,-17.39,6.14,-0.015161,0.061667,44.1,1,0.0,0.0,False
8,4474050943866952960,4474050943866952960,IC4665  ,2.8918,0.0034,IC4665       ,-9223372036854775808,-9223372036854775808,17454123+0533444 ,                   ,266.42182516369854,5.562327144222387,11.279224,11.576244,523.524,10.827143,1022.2712,2.9182614776503017,0.02030717,1.1108675,581861.1170104017,132.44995,347,11.275318,11.561977,10.817697,334.95047,337.22534,339.82858,334.6838,337.1047,339.80273,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,10.243,0.026,10.094,0.033,9.948,0.024,AAA,222,111,000,1,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,,-0.041,0.018999999999999996,4.158,0.032,6806.26,23.39,-15.210000000000003,3.43,0.100383,0.028939,107.62,1,0.0,0.0,False
9,4474052794998331392,4474052794998331392,IC4665  ,2.8918,0.0034,IC4665       ,-9223372036854775808,-9223372036854775808,17453881+0536232 ,J174538.81+053623.1,266.4117244011168,5.606449710844726,11.957426,12.295974,390.59296,11.456038,963.5129,2.903322467817791,0.014496874,1.1170428,311901.1518941132,71.79521,389,11.952325,12.281056,11.446797,338.65723,340.03964,341.61197,338.53668,340.00726,341.51166,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,10.864,0.022,10.586,0.03,10.52,0.019,AAA,222,111,000,1,10.497,0.023,10.515,0.02,10.428,0.072,8.441,,0000,0,AAAU,0000,                            ,,,,        ,,-0.019,0.011000000000000001,4.295,0.022000000000000002,6364.56,17.4,-15.11,3.09,-0.038308999999999996,0.026667000000000007,188.1,1,0.0,0.0,False
