,dr2_source_id,dr3_source_id,Cluster,plx_cluster,e_plx_cluster,SimbadName_cluster,skymapper_id,sdss_id,twomass_id,allwise_id,ra2000,dec2000,gmag,bpmag,dr2_bp_flux_over_error,rpmag,dr2_rp_flux_over_error,parallax,parallax_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_n_obs,gmag_edr3,bpmag_edr3,rpmag_edr3,r_lo_geo,r_med_geo,r_hi_geo,r_lo_photogeo,r_med_photogeo,r_hi_photogeo,objid_FUV,FUVmag,e_FUVmag,Fafl,objid_NUV,NUVmag,e_NUVmag,Nafl,psfMag_uSDSS,psfMagErr_uSDSS,psfMag_gSDSS,psfMagErr_gSDSS,psfMag_rSDSS,psfMagErr_rSDSS,psfMag_iSDSS,psfMagErr_iSDSS,psfMag_zSDSS,psfMagErr_zSDSS,u_flags,u_nimaflags,u_ngood,u_psf,e_u_psf,v_flags,v_nimaflags,v_ngood,v_psf,e_v_psf,g_flags,g_nimaflags,g_ngood,g_psf,e_g_psf,r_flags,r_nimaflags,r_ngood,r_psf,e_r_psf,i_flags,i_nimaflags,i_ngood,i_psf,e_i_psf,z_flags,z_nimaflags,z_ngood,z_psf,e_z_psf,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,ph_qual_2MASS,rd_flg,bl_flg,cc_flg,use_src,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,cc_flags_WISE,ext_flg_WISE,ph_qual_WISE,moon_lev_WISE,asassn_name,Mean Vmag_ASASSN,amplitude_ASASSN,period_ASASSN,Type_ASASSN,class_probability_ASASSN,feh,feh_err,logg,logg_err,teff,teff_err,rv,rv_err,alpha_m,alpha_m_err,nobs,rv_discrepancy_sig,rv_discrepancy,imputed_uncertainties_flag
0,4473481770502730112,4473481770502730112,IC4665  ,2.8918,0.0034,IC4665       ,-9223372036854775808,1237668572013854787,17455679+0522334 ,J174556.79+052233.3,266.48665316889156,5.375955776572872,12.397711,12.845509,407.81866,11.793473,521.13275,2.8242584905947035,0.013349415,1.1576223,209986.2047685212,139.46057,399,12.38189,12.816438,11.775271,350.66562,352.06635,353.72223,350.14734,351.7947,353.61053,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,14.37926,0.02318799,,,,,,,11.9654,0.01698119,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,11.079,0.022,10.769,0.027,10.67,0.021,AAA,222,111,000,1,10.57,0.024,10.561,0.022,10.545,0.09,8.426,,0000,0,AAAU,0000,                            ,,,,        ,,0.009000000000000001,0.02,4.334,0.033,6196.48,30.11,-32.79,0.91,,,1,0.0,0.0,False
1,4473661437575846912,4473661437575846912,IC4665  ,2.8918,0.0034,IC4665       ,-9223372036854775808,1237662979422945557,17444170+0514444 ,J174441.69+051444.3,266.173740802753,5.245678950814915,11.031803,11.410812,456.56195,10.493629,726.50037,2.865479125914815,0.01966163,0.9555475,727068.4935149675,124.78096,326,11.033428,11.394754,10.484793,342.68524,344.66885,346.75497,342.02567,344.21252,346.42664,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,12.8322,0.01632424,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,9.85,0.022,9.555,0.029,9.51,0.02,AAA,222,111,000,1,9.428,0.023,9.438,0.021,9.458,0.04,8.755,,0000,0,AAAU,0000,                            ,,,,        ,,-0.053,0.027999999999999997,4.126,0.046,6550.2,54.94,-14.300000000000002,1.22,,,1,0.0,0.0,False
2,4473670783424690816,4473670783424690816,IC4665  ,2.8918,0.0034,IC4665       ,-9223372036854775808,1237668572013789473,17453483+0525355 ,J174534.84+052535.3,266.3951801900156,5.426516005544677,9.025735,9.177194,621.125,8.79626,516.7163,2.9613547828290296,0.057263788,2.9392605,4586026.014464038,1011.34094,356,9.033775,9.160137,8.785997,328.5075,334.77972,342.93793,326.052,331.64154,339.31793,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,8.487,0.021,8.412,0.04,8.372,0.021,AAA,111,111,000,1,8.335,0.024,8.356,0.021,8.378,0.026,8.009,0.212,0000,0,AAAB,0000,                            ,,,,        ,,-0.455,0.048,4.4910000000000005,0.078,7645.09,65.35,-19.87,9999.0,,,1,0.0,0.0,True
3,4474047606677840384,4474047606677840384,IC4665  ,2.8918,0.0034,IC4665       ,-9223372036854775808,1237662979959947313,17462571+0531091 ,J174625.70+053109.0,266.60712188384883,5.519190251942922,12.05152,12.515887,328.1213,11.433114,363.27774,3.0153245512867275,0.018342659,1.4494368,287691.93997806124,180.74959,418,12.040048,12.488583,11.415944,326.99747,328.84528,331.09518,326.0576,328.51855,330.61035,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,10.693,0.023,10.334,0.031,10.179,0.019,AAA,222,111,000,1,10.077,0.023,10.088,0.021,10.035,0.058,8.513,,0000,0,AAAU,0000,ASASSN-V J174625.75+053109.7,12.31,0.04,583.3206198,ROT:    ,0.676,0.098,0.015000000000000001,4.322,0.022000000000000002,6139.7,24.249999999999996,-11.239999999999998,0.82,,,1,0.0,0.0,False
4,4474050943866952960,4474050943866952960,IC4665  ,2.8918,0.0034,IC4665       ,-9223372036854775808,-9223372036854775808,17454123+0533444 ,                   ,266.42182516369854,5.562327144222387,11.279224,11.576244,523.524,10.827143,1022.2712,2.9182614776503017,0.02030717,1.1108675,581861.1170104017,132.44995,347,11.275318,11.561977,10.817697,334.95047,337.22534,339.82858,334.6838,337.1047,339.80273,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,10.243,0.026,10.094,0.033,9.948,0.024,AAA,222,111,000,1,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,,-0.039,0.026000000000000006,4.112,0.042,6723.42,50.61,-11.33,1.16,,,1,0.0,0.0,False
5,4474117047705409280,4474117047705409280,IC4665  ,2.8918,0.0034,IC4665       ,-9223372036854775808,1237668658448958503,17442710+0547195 ,J174427.10+054719.5,266.11294117688936,5.788769902660285,13.240183,13.710008,195.01353,12.610004,288.8441,2.9083763258476862,0.013073213,1.0068576,97269.75208480313,153.00899,343,13.2174225,13.672327,12.583097,338.71494,339.8626,341.334,338.24774,339.57587,340.8692,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,11.816,0.019,11.387,0.031,11.267,0.022,AAA,222,111,000,1,11.191,0.023,11.223,0.022,11.181,0.124,9.19,,0000,0,AABU,0000,                            ,,,,        ,,0.145,0.027999999999999997,4.486000000000001,0.047,5604.08,40.05,-14.28,1.05,,,1,0.0,0.0,False
6,4474119113588067712,4474119113588067712,IC4665  ,2.8918,0.0034,IC4665       ,-9223372036854775808,1237668572550529169,17445810+0551329 ,J174458.10+055132.7,266.24209278247685,5.859130250652319,13.205166,13.678472,240.68198,12.582193,353.09244,2.945454241216058,0.013148509,0.9786688,99638.56777420067,77.68524,352,13.1912985,13.64833,12.566479,333.95352,335.32092,336.72067,333.5224,335.12347,336.90643,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,15.40009,0.0197698,13.83231,0.008776831,,,,,12.76437,0.01764246,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,11.828,0.022,11.426,0.032,11.34,0.021,AAA,222,111,000,1,11.252,0.023,11.268,0.023,10.99,0.104,8.636,,0000,0,AAAU,0000,                            ,,,,        ,,0.073,0.034,4.617,0.057,5760.07,45.989999999999995,-12.72,1.1,,,1,0.0,0.0,False
7,330439429247433216,330439429247433216,NGC0752 ,2.2304,0.0027,NGC0752      ,-9223372036854775808,-9223372036854775808,01571651+3649214 ,J015716.52+364921.2,29.318809294741794,36.82261391726309,13.375261,13.768723,354.7342,12.826121,443.0161,2.2603283059368393,0.016900724,1.1002703,84877.3346129127,23.741953,198,13.365388,13.744338,12.819024,431.19238,434.2061,436.76184,431.121,434.62152,438.4665,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,12.186,0.019,11.849,0.017,11.788,0.019,AAA,222,111,000,1,11.744,0.023,11.773,0.022,11.536,0.149,8.942,,0000,0,AABU,1344,                            ,,,,        ,,-0.04347740204662499,0.012200214557928118,4.530910205584818,0.020282219334746138,5735.517607664487,17.26914200028108,6.042778908153746,0.5682235967641684,0.02051690082027124,0.010055341793255268,4,1.398865802623779,2.13,False
8,330717227732264960,330717227732264960,NGC0752 ,2.2304,0.0027,NGC0752      ,-9223372036854775808,-9223372036854775808,02054851+3728156 ,J020548.52+372815.6,31.45213101223614,37.471041485736,10.055547,10.311486,587.78766,9.684458,680.22076,2.2898308439871013,0.018721316,1.2037302,1777124.7043008634,810.4358,192,10.063072,10.299659,9.674827,428.3403,431.50052,435.48694,426.9497,430.69623,434.31784,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,9.249,0.02,9.057,0.022,8.989,0.018,AAA,222,111,000,1,8.969,0.023,8.995,0.02,8.944,0.028,8.853,0.375,0000,0,AAAC,1111,                            ,,,,        ,,0.056999999999999995,0.048,3.996,0.078,6797.17,65.35,8.05,9999.0,-0.024,0.030277000000000002,1,0.0,0.0,True
9,330835322152914560,330835322152914560,NGC0752 ,2.2304,0.0027,NGC0752      ,-9223372036854775808,-9223372036854775808,01591990+3723230 ,J015919.90+372322.9,29.83290337778582,37.389733575565806,12.661637,13.04951,561.02686,12.120673,936.26166,2.298194174845991,0.019395797,1.1535846,163314.68270603157,40.394722,189,12.654804,13.026014,12.110896,426.8885,430.6084,434.2408,427.95276,430.23608,433.80862,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,11.472,0.021,11.14,0.021,11.052,0.02,AAA,222,111,000,1,11.006,0.023,11.042,0.021,10.964,0.088,8.83,,0000,0,AAAU,1222,                            ,,,,        ,,-0.05091546276797037,0.01628236846068479,4.475788842155608,0.026644142653604805,5632.00201113764,23.426439608828296,4.127927964255011,0.6970078487401324,0.1043909697113477,0.015352444994997657,3,4.085740271335481,8.21,False
