,dr2_source_id,dr3_source_id,Cluster,SimbadName_cluster,e_plx_cluster,plx_cluster,skymapper_id,sdss_id,twomass_id,allwise_id,panstarrs1,ra2000,dec2000,gmag,bpmag,rpmag,parallax,parallax_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_n_obs,gmag_edr3,bpmag_edr3,rpmag_edr3,r_lo_geo,r_med_geo,r_hi_geo,r_lo_photogeo,r_med_photogeo,r_hi_photogeo,objid_NUV,NUVmag,e_NUVmag,Nafl,objid_FUV,FUVmag,e_FUVmag,Fafl,psfMag_uSDSS,psfMagErr_uSDSS,psfMag_gSDSS,psfMagErr_gSDSS,psfMag_rSDSS,psfMagErr_rSDSS,psfMag_iSDSS,psfMagErr_iSDSS,psfMag_zSDSS,psfMagErr_zSDSS,u_flags,u_nimaflags,u_ngood,e_u_psf,u_psf,v_flags,v_nimaflags,v_ngood,e_v_psf,v_psf,g_flags,g_nimaflags,g_ngood,g_psf,e_g_psf,r_flags,r_nimaflags,r_ngood,r_psf,e_r_psf,i_flags,i_nimaflags,i_ngood,i_psf,e_i_psf,z_flags,z_nimaflags,z_ngood,z_psf,e_z_psf,object_01,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,ph_qual_1,rd_flg,bl_flg,cc_flg,use_src,designation,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,cc_flags,ext_flg,ph_qual_2,moon_lev,asassn_name,Mean Vmag_ASASSN,amplitude_ASASSN,period_ASASSN,Type_ASASSN,class_probability_ASASSN,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr,yMeanPSFMag,yMeanPSFMagErr
11,49729231594420096,49729231594420096,Hyades  ,Hyades               ,0.065,21.052,-9223372036854775808,-9223372036854775808,04004874+1811383,J040048.87+181138.0,-9223372036854775808,60.20319248034305,18.19400140845018,5.790159,5.972767,5.5273857,21.85669141594702,0.042020794,1.015157,89810576.71699959,36665.633,372,5.804048,5.9629292,5.515528,45.5606,45.663815,45.76339,45.597485,45.685665,45.76194,-9223372036854775808,,,-32768,6376967493259362516,13.4786,0.007,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,04004874+1811383,5.236,0.019,5.077,0.031,5.047,0.016,EAA,111,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,,,,,,,,,,,
32,3405220088550711808,3405220088550711808,Hyades  ,Hyades               ,0.065,21.052,-9223372036854775808,-9223372036854775808,04504853+1612376,J045048.59+161237.4,-9223372036854775808,72.70226539781552,16.210450888957517,7.152123,7.424793,6.7687836,19.91869848970651,0.027459217,1.0711862,25569219.801042683,5521.3447,335,7.168073,7.4106383,6.7631364,50.062798,50.132477,50.18751,50.07481,50.12863,50.197163,6376897114851510601,13.6796,0.0049,1,6376897114851510601,17.4735,0.0348,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,04504853+1612376,6.321,0.029,6.146,0.02,6.061,0.016,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,ASASSN-V J045048.50+161237.4,7.77,0.71,918.228506,VAR     ,0.772,,,,,,,,,,
39,3404812685132622592,3404812685132622592,Hyades  ,Hyades               ,0.065,21.052,-9223372036854775808,-9223372036854775808,04503379+1505004,J045033.87+150500.3,-9223372036854775808,72.6409202027363,15.08343856346771,7.555648,7.942994,7.04433,20.50299348150385,0.17893784,7.1158037,17629666.967957057,7727.332,374,7.5717564,7.924185,7.0369196,48.341633,48.689922,49.150326,48.17741,48.669846,49.06274,-9223372036854775808,,,-32768,6376897124515185774,19.6621,0.1114,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,04503379+1505004,6.439,0.027,6.133,0.033,6.044,0.02,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,,,,,,,,,,,
40,3405113740864365440,3405113740864365440,Hyades  ,Hyades               ,0.065,21.052,-9223372036854775808,-9223372036854775808,04493211+1553197,J044932.18+155319.2,-9223372036854775808,72.38385395263809,15.888743027619784,7.58252,7.8946714,7.1571903,20.62442127241635,0.019703357,0.8669956,17244307.74115766,3080.0964,396,7.5957522,7.8762264,7.1483245,48.35522,48.40691,48.453873,48.341995,48.389038,48.43329,6376897115925251050,13.2492,0.0039,0,6376897115925251050,19.1107,0.0841,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,04493211+1553197,6.642,0.021,6.433,0.021,6.355,0.016,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,,,,,,,,,,,
43,3314109916508904064,3314109916508904064,Hyades  ,Hyades               ,0.065,21.052,-9223372036854775808,1237671255832526885,04284827+1717079,J042848.37+171707.3,-9223372036854775808,67.20124337834947,17.285468329003063,7.685845,8.015856,7.2420945,21.5489076022758,0.022407819,0.99831164,15628717.242265072,10389.006,438,7.7025585,8.002354,7.232789,46.277287,46.312336,46.358852,46.288525,46.333263,46.385902,-9223372036854775808,,,-32768,6376897106261576009,18.8937,0.0568,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,04284827+1717079,6.696,0.024,6.462,0.026,6.404,0.02,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,,,,,,,,,,,
44,45367056650753280,45367056650753280,Hyades  ,Hyades               ,0.065,21.052,-9223372036854775808,1237673328689545286,04061614+1541532,J040616.21+154153.0,-9223372036854775808,61.56719884414402,15.698120485246667,7.6933208,8.015052,7.2529035,21.1750396454176,0.022528196,0.9715326,15584418.139124235,7545.28,348,7.7056403,7.999314,7.24572,47.10428,47.150425,47.198776,47.100082,47.148476,47.199924,6376967527619101189,13.5569,0.0031,0,6376967527619101189,18.9402,0.0671,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,04061614+1541532,6.753,0.024,6.532,0.036,6.446,0.024,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,,,,,,,,,,,
45,3404850790082434176,3404850790083594368,Hyades  ,Hyades               ,0.065,21.052,-9223372036854775808,-9223372036854775808,04512320+1526004,J045123.26+152600.3,-9223372036854775808,72.84672892967667,15.433464841078452,7.7600765,8.041748,7.36303,16.333583569386576,0.032190233,0.92833674,14677536.954143085,4161.739,370,7.770734,8.026605,7.352587,60.96516,61.06196,61.199482,60.951984,61.087563,61.205624,6376897114851508265,14.2478,0.0064,1,6376897114851508265,18.4543,0.0635,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,04512320+1526004,6.93,0.032,6.686,0.017,6.671,0.021,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,,,,,,,,,,,
47,3304412601908736512,3304412601908736512,Hyades  ,Hyades               ,0.065,21.052,-9223372036854775808,-9223372036854775808,04142723+1226070,J041427.33+122607.0,-9223372036854775808,63.613560914992696,12.435314750089358,7.8784366,8.220196,7.4140205,21.0556560695836,0.032478068,1.0200107,13212656.522852754,8009.7783,236,7.8848915,8.199114,7.404073,47.35403,47.42526,47.483284,47.3482,47.41547,47.48623,6376897161022408196,13.9863,0.005,257,6376897161022408196,19.471,0.1364,256,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,04142723+1226070,6.856,0.019,6.607,0.021,6.534,0.017,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,ASASSN-V J041427.28+122606.7,8.48,0.61,,VAR     ,0.342,,,,,,,,,,
48,149005270337201792,149005270337201792,Hyades  ,Hyades               ,0.065,21.052,-9223372036854775808,-9223372036854775808,04143228+2334298,J041432.39+233429.3,-9223372036854775808,63.63464390524423,23.57494406528765,7.8825264,8.232728,7.4113297,21.993958087904776,0.02388899,0.9932552,13067015.541539574,4174.943,465,7.896926,8.217944,7.405059,45.35425,45.402607,45.451202,45.343082,45.3926,45.435387,6376861951954258161,13.6054,0.0072,0,6376861951954258161,19.4895,0.1862,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,04143228+2334298,6.877,0.026,6.599,0.02,6.516,0.02,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,ASASSN-V J041432.51+233429.5,8.42,0.5,,ROT:    ,0.299,,,,,,,,,,
52,3309006602007842048,3309006602007842048,Hyades  ,Hyades               ,0.065,21.052,-9223372036854775808,-9223372036854775808,04463036+1528194,J044630.45+152819.2,-9223372036854775808,71.62660676469699,15.472044465908288,8.126219,8.481213,7.650042,20.500601458263425,0.0819142,3.2997699,10457050.024130912,3075.4177,360,8.138844,8.464413,7.643832,48.478207,48.699783,48.93133,48.486763,48.671803,48.852303,6376897125588928856,13.9149,0.0053,0,6376897125588928856,19.9987,0.1242,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,04463036+1528194,7.098,0.026,6.843,0.02,6.738,0.033,AAE,111,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,,,,,,,,,,,
