,dr2_source_id,dr3_source_id,Cluster,plx_cluster,e_plx_cluster,SimbadName_cluster,skymapper_id,sdss_id,twomass_id,allwise_id,ra2000,dec2000,gmag,bpmag,dr2_bp_flux_over_error,rpmag,dr2_rp_flux_over_error,parallax,parallax_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_n_obs,gmag_edr3,bpmag_edr3,rpmag_edr3,r_lo_geo,r_med_geo,r_hi_geo,r_lo_photogeo,r_med_photogeo,r_hi_photogeo,objid_FUV,FUVmag,e_FUVmag,Fafl,objid_NUV,NUVmag,e_NUVmag,Nafl,psfMag_uSDSS,psfMagErr_uSDSS,psfMag_gSDSS,psfMagErr_gSDSS,psfMag_rSDSS,psfMagErr_rSDSS,psfMag_iSDSS,psfMagErr_iSDSS,psfMag_zSDSS,psfMagErr_zSDSS,u_flags,u_nimaflags,u_ngood,u_psf,e_u_psf,v_flags,v_nimaflags,v_ngood,v_psf,e_v_psf,g_flags,g_nimaflags,g_ngood,g_psf,e_g_psf,r_flags,r_nimaflags,r_ngood,r_psf,e_r_psf,i_flags,i_nimaflags,i_ngood,i_psf,e_i_psf,z_flags,z_nimaflags,z_ngood,z_psf,e_z_psf,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,ph_qual_2MASS,rd_flg,bl_flg,cc_flg,use_src,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,cc_flags_WISE,ext_flg_WISE,ph_qual_WISE,moon_lev_WISE,asassn_name,Mean Vmag_ASASSN,amplitude_ASASSN,period_ASASSN,Type_ASASSN,class_probability_ASASSN
6580,598591692283221248,598591692283221248,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671261198418157,08513289+1047286 ,J085132.88+104728.6,132.8870476261967,10.791286177916822,13.807146,14.116644,1161.1635,13.343485,1074.1351,1.1225814372236982,0.016978959,0.9870105,57174.92823420272,8.950587,559,13.794353,14.096643,13.332134,846.37463,859.5689,869.56915,844.1259,857.5446,872.10614,6377811981538166761,,,0,6377811981538166761,18.7552,0.051,0,15.38491,0.01871035,,,,,,,13.62601,0.01978607,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,12.838,0.023,12.575,0.022,12.521,0.023,AAA,222,111,000,1,12.501,0.024,12.524,0.024,11.988,0.35,8.937,,0000,0,AABU,0000,                            ,,,,        ,
6581,598616706172696320,598616706172696320,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671261198549437,08523295+1053220 ,J085232.96+105321.8,133.1373683429243,10.889409479344705,18.980314,20.120358,16.114803,17.821043,76.96547,1.1639563530458217,0.22695763,1.0335158,492.51074285295135,0.8415636,585,18.956327,20.154642,17.8292,707.15656,878.385,1073.1395,685.9772,793.21014,902.68146,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,20.90417,0.03227584,19.38937,0.01611366,18.22905,0.01681086,17.62324,0.02223404,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,16.448,0.12,15.849,0.139,15.602,0.21,BBC,222,111,000,1,15.294,0.04,15.35,0.108,12.6,,8.431,,0000,0,AAUU,0000,                            ,,,,        ,
6582,598619935988243840,598619935988243840,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671261198614634,08530834+1055176 ,J085308.33+105517.5,133.28473697362693,10.921571836710486,15.642293,16.151125,329.1001,14.992273,627.9767,1.1848232295340935,0.04187297,1.0125405,10538.3175243611,2.8557868,549,15.630439,16.1206,14.987263,787.1031,814.6457,848.2315,784.63885,811.2298,840.6002,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,18.33163,0.02788184,16.36495,0.01721105,15.60368,0.01634767,15.31457,0.01883748,15.20208,0.01859431,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,14.247,0.031,13.77,0.042,13.661,0.037,AAA,222,111,000,1,13.609,0.026,13.653,0.034,12.075,,8.955,,0000,0,AAUU,0000,                            ,,,,        ,
6583,598621443521529216,598621443521529216,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671261198614659,08531135+1056051 ,J085311.34+105604.9,133.29730434039192,10.93476031537257,16.069983,16.652796,329.51224,15.356651,593.1917,1.1001259277986923,0.051818028,0.97340673,7122.407665125977,2.175784,616,16.0558,16.626217,15.351566,837.22253,872.3893,913.1828,846.8231,890.11346,937.49475,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,19.23515,0.0323903,16.92873,0.017299,16.02984,0.01638411,15.6948,0.0188644,15.53328,0.01871824,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,14.499,0.032,14.024,0.042,13.911,0.039,AAA,222,111,000,1,13.774,0.026,13.864,0.039,11.999,,8.597,,0000,0,AAUU,0000,                            ,,,,        ,
6584,598623990437231872,598623990437231872,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671261198549166,08522012+1058018 ,                   ,133.08385994381365,10.967179926912666,15.1022415,15.507892,597.50507,14.540044,858.0835,1.0567527161680947,0.028252227,0.99657947,17319.84296299527,3.8334215,566,15.091007,15.483768,14.530847,881.5038,903.8533,926.6048,885.3383,903.85236,937.34216,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,15.61297,0.01843469,15.06447,0.01210885,,,14.79952,0.01898977,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,13.905,0.048,13.511,0.056,13.448,0.051,AAA,222,111,000,1,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
6585,598624402754072576,598624402754072576,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671261198614846,08524083+1100155 ,J085240.83+110015.3,133.17013899843954,11.00426292551657,18.860191,19.904032,19.053001,17.71609,78.38167,1.3864720954407543,0.23447545,1.0611831,556.2077487909622,0.8843288,586,18.824274,20.065222,17.736502,640.5185,764.1365,898.4769,639.3804,736.945,839.4569,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,20.6248,0.02775935,19.1468,0.01884138,18.1975,0.01977802,17.60611,0.02187973,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,16.442,0.109,15.73,0.122,15.779,0.23,BBD,222,111,000,1,15.349,0.041,15.243,0.098,12.612,,8.973,,0000,0,AAUU,0000,                            ,,,,        ,
6586,598640616255440896,598640616255440896,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671261198352840,08503196+1047492 ,J085031.94+104749.5,132.63324425088211,10.797064416256495,19.04356,20.249456,15.466348,17.915365,79.10787,1.049323122716267,0.27722767,0.9496708,464.86900898548964,0.946247,446,19.019041,20.313885,17.9149,762.0007,943.8251,1242.3927,663.0379,766.3772,850.9454,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,20.85464,0.02900481,19.69987,0.06815035,18.32664,0.02443365,17.78978,0.02263512,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,16.395,0.109,15.668,0.139,15.682,,ABU,220,110,000,1,15.402,0.043,15.898,0.171,12.608,,8.302,,0000,0,ABUU,0000,                            ,,,,        ,
6587,598644224028050432,598644224028050432,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671124296466710,08504630+1054522 ,J085046.31+105452.3,132.69297231148545,10.914543373215993,18.620625,19.711363,25.09977,17.54351,88.78875,1.4323646267161005,0.18852194,1.0061877,693.8513188247507,1.0459894,429,18.5842,19.71576,17.546234,630.9955,723.2822,822.20996,650.4813,722.83704,816.3554,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,20.30871,0.02355767,18.908,0.01507015,17.94191,0.01328362,17.43003,0.01901243,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,16.038,0.074,15.787,0.145,15.44,0.159,ABC,222,111,000,1,15.151,0.038,15.331,0.098,12.316,,8.852,,0000,0,AAUU,0000,                            ,,,,        ,
6588,598656902771538688,598656902771538688,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671124296401377,08501676+1057428 ,J085016.75+105742.9,132.5698551235143,10.961884853058777,18.823223,20.017788,30.52346,17.727184,111.11123,0.7196606669413684,0.26255307,1.0701164,580.122058182443,0.9672461,433,18.778568,19.9474,17.70118,1040.5076,1395.8665,2042.1119,823.0809,913.1472,1017.73773,6377811981538167622,,,0,6377811981538167622,22.6098,0.4252,0,,,20.56743,0.02495569,19.1728,0.01467202,18.13755,0.02332382,17.5074,0.01699752,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,16.315,0.098,15.823,0.152,15.45,0.17,ABC,222,111,000,1,15.236,0.038,15.286,0.093,12.551,,8.932,,0000,0,AAUU,0000,                            ,,,,        ,
6589,598657727405220608,598657727405220608,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671124296401167,08495230+1053575 ,J084952.31+105357.9,132.46798306378943,10.899402727100608,18.775333,19.82695,19.661196,17.742449,86.86541,0.7923653754565976,0.23897587,0.9886401,597.2257800611765,1.0094022,403,18.74702,19.882702,17.733238,1068.1233,1377.2472,1868.644,857.83374,987.27606,1120.9478,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,20.3842,0.02361145,18.96787,0.01399595,18.09199,0.02322937,17.68433,0.01842424,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,16.463,0.114,15.571,0.124,15.909,0.251,BBD,222,111,000,1,15.369,0.043,15.321,0.108,12.479,,8.942,,0000,0,AAUU,0000,                            ,,,,        ,
