dr2_source_id,dr3_source_id,Cluster,plx_cluster,e_plx_cluster,SimbadName_cluster,skymapper_id,sdss_id,twomass_id,allwise_id,ra2000,dec2000,gmag,bpmag,dr2_bp_flux_over_error,rpmag,dr2_rp_flux_over_error,parallax,parallax_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_n_obs,gmag_edr3,bpmag_edr3,rpmag_edr3,r_lo_geo,r_med_geo,r_hi_geo,r_lo_photogeo,r_med_photogeo,r_hi_photogeo,objid_FUV,FUVmag,e_FUVmag,Fafl,objid_NUV,NUVmag,e_NUVmag,Nafl,psfMag_uSDSS,psfMagErr_uSDSS,psfMag_gSDSS,psfMagErr_gSDSS,psfMag_rSDSS,psfMagErr_rSDSS,psfMag_iSDSS,psfMagErr_iSDSS,psfMag_zSDSS,psfMagErr_zSDSS,u_flags,u_nimaflags,u_ngood,u_psf,e_u_psf,v_flags,v_nimaflags,v_ngood,v_psf,e_v_psf,g_flags,g_nimaflags,g_ngood,g_psf,e_g_psf,r_flags,r_nimaflags,r_ngood,r_psf,e_r_psf,i_flags,i_nimaflags,i_ngood,i_psf,e_i_psf,z_flags,z_nimaflags,z_ngood,z_psf,e_z_psf,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,ph_qual_2MASS,rd_flg,bl_flg,cc_flg,use_src,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,cc_flags_WISE,ext_flg_WISE,ph_qual_WISE,moon_lev_WISE,asassn_name,Mean Vmag_ASASSN,amplitude_ASASSN,period_ASASSN,Type_ASASSN,class_probability_ASASSN
598591692283221248,598591692283221248,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671261198418157,08513289+1047286 ,J085132.88+104728.6,132.8870476261967,10.791286177916822,13.807146,14.116644,1161.1635,13.343485,1074.1351,1.1225814372236982,0.016978959,0.9870105,57174.92823420272,8.950587,559,13.794353,14.096643,13.332134,846.37463,859.5689,869.56915,844.1259,857.5446,872.10614,6377811981538166761,,,0,6377811981538166761,18.7552,0.051,0,15.38491,0.01871035,,,,,,,13.62601,0.01978607,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,12.838,0.023,12.575,0.022,12.521,0.023,AAA,222,111,000,1,12.501,0.024,12.524,0.024,11.988,0.35,8.937,,0000,0,AABU,0000,                            ,,,,        ,
598619935988243840,598619935988243840,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671261198614634,08530834+1055176 ,J085308.33+105517.5,133.28473697362693,10.921571836710486,15.642293,16.151125,329.1001,14.992273,627.9767,1.1848232295340935,0.04187297,1.0125405,10538.3175243611,2.8557868,549,15.630439,16.1206,14.987263,787.1031,814.6457,848.2315,784.63885,811.2298,840.6002,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,18.33163,0.02788184,16.36495,0.01721105,15.60368,0.01634767,15.31457,0.01883748,15.20208,0.01859431,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,14.247,0.031,13.77,0.042,13.661,0.037,AAA,222,111,000,1,13.609,0.026,13.653,0.034,12.075,,8.955,,0000,0,AAUU,0000,                            ,,,,        ,
598621443521529216,598621443521529216,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671261198614659,08531135+1056051 ,J085311.34+105604.9,133.29730434039192,10.93476031537257,16.069983,16.652796,329.51224,15.356651,593.1917,1.1001259277986923,0.051818028,0.97340673,7122.407665125977,2.175784,616,16.0558,16.626217,15.351566,837.22253,872.3893,913.1828,846.8231,890.11346,937.49475,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,19.23515,0.0323903,16.92873,0.017299,16.02984,0.01638411,15.6948,0.0188644,15.53328,0.01871824,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,14.499,0.032,14.024,0.042,13.911,0.039,AAA,222,111,000,1,13.774,0.026,13.864,0.039,11.999,,8.597,,0000,0,AAUU,0000,                            ,,,,        ,
598623990437231872,598623990437231872,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671261198549166,08522012+1058018 ,                   ,133.08385994381365,10.967179926912666,15.1022415,15.507892,597.50507,14.540044,858.0835,1.0567527161680947,0.028252227,0.99657947,17319.84296299527,3.8334215,566,15.091007,15.483768,14.530847,881.5038,903.8533,926.6048,885.3383,903.85236,937.34216,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,15.61297,0.01843469,15.06447,0.01210885,,,14.79952,0.01898977,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,13.905,0.048,13.511,0.056,13.448,0.051,AAA,222,111,000,1,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
598658242801192192,598658242801192192,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671124296401043,08495957+1055545 ,J084959.56+105554.4,132.49821509099482,10.931776889092067,14.35876,14.712749,998.05707,13.851274,1261.8712,1.0809411303374796,0.025409857,0.96833885,34375.1469064639,6.6390195,404,14.346755,14.689362,13.840156,872.8993,889.30347,907.4708,870.504,886.6145,906.3144,6377811981538167440,,,0,6377811981538167440,20.1584,0.1052,0,16.1802,0.01618479,14.79562,0.01512063,14.32686,0.01088567,,,14.13886,0.01108848,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,13.283,0.021,12.94,0.026,12.918,0.025,AAA,222,111,000,1,12.888,0.025,12.947,0.028,12.305,0.408,8.974,,0000,0,AACU,0000,                            ,,,,        ,
598673365381245312,598673365381245312,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671124296663250,08523346+1103402 ,J085233.45+110340.2,133.13944473355227,11.061198226088159,15.986864,16.54293,273.6409,15.282657,307.33694,1.1321288970654826,0.0464349,1.0345904,7683.527638267344,2.5290813,567,15.973465,16.521603,15.275143,828.8727,855.4618,882.4586,818.7193,846.3288,873.3372,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,18.96331,0.02282959,,,15.92953,0.01127875,15.62425,0.009921956,15.463,0.01292112,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,14.488,0.029,13.92,0.035,13.836,0.039,AAA,222,111,000,1,13.796,0.026,13.801,0.037,11.957,,8.705,,0000,0,AAUU,0000,                            ,,,,        ,
598674391878434560,598674391878434560,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671124296663411,08522743+1106508 ,J085227.42+110650.9,133.11431063853524,11.114153288424923,16.213184,16.811451,244.59514,15.478639,339.3184,1.0897574916967305,0.04727872,0.95431083,6248.65984399866,2.3469021,559,16.197899,16.783785,15.471873,858.9231,896.1861,930.0762,835.9464,877.554,914.38,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,19.41502,0.02821685,17.09603,0.01790365,16.1653,0.01143351,15.82397,0.01008739,15.64706,0.01306435,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,14.594,0.031,14.018,0.033,13.863,0.049,AAA,222,111,000,1,13.838,0.026,13.902,0.039,11.903,,8.542,,0000,0,AAUU,0000,                            ,,,,        ,
598678141384872704,598678141384872704,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671124296663158,08522497+1110270 ,J085224.96+111027.0,133.1040179795693,11.174183351402808,14.216938,14.546235,845.5141,13.729351,1323.7816,1.1063878742375923,0.021278061,1.0477821,39168.14285933706,6.5645695,523,14.205034,14.524758,13.718232,853.001,872.3671,891.47424,855.10583,870.6057,887.98505,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,13.203,0.029,12.879,0.036,12.803,0.03,AAA,222,111,000,1,12.774,0.024,12.785,0.027,12.295,0.472,8.804,,0000,0,AACU,0000,                            ,,,,        ,
598687865190906496,598687865190906496,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671261735288867,08503867+1112129 ,J085038.66+111212.8,132.66114740332202,11.20357829763775,14.027311,14.345044,731.8733,13.553535,1230.8873,1.1200838435032932,0.021323072,0.97085965,46653.83689634127,9.034507,420,14.015148,14.324351,13.543888,844.0991,857.23627,871.4008,844.7372,861.367,873.2453,6377811981538168593,,,0,6377811981538168593,19.2626,0.0654,0,15.68291,0.01817591,14.41445,0.01251986,14.0294,0.01781829,,,13.84313,0.01119074,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,13.047,0.024,12.717,0.024,12.649,0.023,AAA,222,111,000,1,12.656,0.023,12.672,0.026,11.896,,8.691,,0000,0,AAUU,0000,                            ,,,,        ,
598688449306444160,598688449306444160,NGC2682 ,1.1325,0.0011,NGC2682      ,-9223372036854775808,1237671261735288976,08505185+1115242 ,                   ,132.7160306255242,11.256733001728534,17.316208,18.160929,81.35277,16.378227,215.90367,1.170974242845721,0.08799793,0.94628865,2279.0959626504805,1.6930634,418,17.292961,18.174862,16.370413,791.4096,847.2662,905.6628,755.0484,801.7552,851.2077,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,21.36825,0.1075465,,,,,,,16.40606,0.0173722,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,15.259,0.045,14.49,0.042,14.38,0.063,AAA,222,111,ccc,1,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
