dr2_source_id,dr3_source_id,Cluster,plx_cluster,e_plx_cluster,SimbadName_cluster,skymapper_id,sdss_id,twomass_id,allwise_id,ra2000,dec2000,gmag,bpmag,dr2_bp_flux_over_error,rpmag,dr2_rp_flux_over_error,parallax,parallax_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_n_obs,gmag_edr3,bpmag_edr3,rpmag_edr3,r_lo_geo,r_med_geo,r_hi_geo,r_lo_photogeo,r_med_photogeo,r_hi_photogeo,objid_FUV,FUVmag,e_FUVmag,Fafl,objid_NUV,NUVmag,e_NUVmag,Nafl,psfMag_uSDSS,psfMagErr_uSDSS,psfMag_gSDSS,psfMagErr_gSDSS,psfMag_rSDSS,psfMagErr_rSDSS,psfMag_iSDSS,psfMagErr_iSDSS,psfMag_zSDSS,psfMagErr_zSDSS,u_flags,u_nimaflags,u_ngood,u_psf,e_u_psf,v_flags,v_nimaflags,v_ngood,v_psf,e_v_psf,g_flags,g_nimaflags,g_ngood,g_psf,e_g_psf,r_flags,r_nimaflags,r_ngood,r_psf,e_r_psf,i_flags,i_nimaflags,i_ngood,i_psf,e_i_psf,z_flags,z_nimaflags,z_ngood,z_psf,e_z_psf,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,ph_qual_2MASS,rd_flg,bl_flg,cc_flg,use_src,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,cc_flags_WISE,ext_flg_WISE,ph_qual_WISE,moon_lev_WISE,asassn_name,Mean Vmag_ASASSN,amplitude_ASASSN,period_ASASSN,Type_ASASSN,class_probability_ASASSN
573939576438358272,573939576438358272,NGC0188 ,0.5053,0.0011,NGC0188      ,-9223372036854775808,-9223372036854775808,00512176+8512377 ,J005121.72+851237.7,12.840675020110329,85.21048481802714,13.060768,13.673522,697.5745,12.329916,1654.7118,0.5379028481381627,0.010701694,1.0332172,113706.03988266345,14.362168,354,13.047908,13.641027,12.319191,1753.4047,1783.9501,1814.7451,1741.4536,1778.3962,1818.6295,6387804305630429847,,,0,6387804305630429847,21.8121,0.2794,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,11.37,0.027,10.816,0.033,10.659,0.022,AAA,222,111,000,1,10.611,0.022,10.712,0.019,10.537,0.056,9.208,0.446,0000,0,AAAC,0000,                            ,,,,        ,
573938580005960832,573938580005960832,NGC0188 ,0.5053,0.0011,NGC0188      ,-9223372036854775808,-9223372036854775808,00533497+8511145 ,J005335.03+851114.5,13.396020270014985,85.1873776105151,13.079805,13.695369,810.24536,12.345929,1806.8982,0.5037807154217794,0.009405511,1.0179764,111715.21970311076,12.745519,413,13.067086,13.664479,12.334874,1857.7175,1895.751,1924.7428,1856.589,1886.4998,1924.3574,6387804305630429739,,,0,6387804305630429739,22.1172,0.3508,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,11.376,0.027,10.792,0.031,10.702,0.018,AAA,222,111,000,1,10.618,0.022,10.708,0.019,10.557,0.063,9.026,,d000,0,AAAU,0000,                            ,,,,        ,
573557908465908096,573557908465908096,NGC0188 ,0.5053,0.0011,NGC0188      ,-9223372036854775808,-9223372036854775808,00411980+8501269 ,J004119.77+850126.9,10.332526405593356,85.02416291999845,13.185721,13.783318,606.4377,12.465478,1095.8218,0.5275699065824415,0.010446206,1.0331552,101355.15724863794,11.998417,382,13.172752,13.752354,12.455354,1762.7971,1794.7874,1834.7118,1767.7356,1806.2616,1843.3029,6373343478236057466,,,0,6373343478236057466,21.595,0.2548,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,11.537,0.027,11.019,0.033,10.837,0.022,AAA,222,111,000,1,10.779,0.023,10.878,0.021,10.729,0.069,9.089,,0h00,0,AAAU,0000,                            ,,,,        ,
573938236408558464,573938236408558464,NGC0188 ,0.5053,0.0011,NGC0188      ,-9223372036854775808,-9223372036854775808,00485910+8512294 ,J004859.00+851229.6,12.246208077574286,85.20822722380004,13.355918,13.940821,731.37616,12.646774,1498.9482,0.5231166600627769,0.010453983,0.9919629,86620.5674141454,9.520834,372,13.343314,13.910227,12.635581,1781.3285,1813.606,1848.556,1776.1125,1815.2545,1850.0564,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,11.69,0.027,11.203,0.033,11.078,0.022,AAA,222,111,000,1,10.978,0.022,11.06,0.02,10.939,0.098,9.428,,dd00,0,AAAU,0000,                            ,,,,        ,
573941603662882944,573941603662882944,NGC0188 ,0.5053,0.0011,NGC0188      ,-9223372036854775808,-9223372036854775808,00453697+8515084 ,J004537.00+851508.5,11.403865093784207,85.25239465394714,13.360203,13.950237,847.16364,12.643575,1882.3296,0.485796338207582,0.010648752,1.0354946,86286.63265659226,10.6571665,346,13.347508,13.920689,12.632932,1908.8481,1945.2372,1982.2922,1916.7269,1951.8059,1990.9512,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,11.709,0.032,11.149,0.032,11.024,0.026,AAA,222,111,000,1,10.887,0.022,10.963,0.021,10.849,0.077,9.045,,0000,0,AAAU,0000,                            ,,,,        ,
573941534943413888,573941534943413888,NGC0188 ,0.5053,0.0011,NGC0188      ,-9223372036854775808,-9223372036854775808,00463374+8514342 ,J004633.73+851434.3,11.640604908883564,85.24287808686225,13.595017,14.167292,775.2122,12.895427,981.92487,0.5176796502497876,0.0130388,1.1560099,69532.91543717586,9.148256,348,13.581891,14.137316,12.88434,1793.2694,1829.4473,1867.183,1804.8982,1842.4391,1893.4597,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,12.005,0.029,11.468,0.032,11.321,0.021,AAA,222,111,000,1,11.272,0.022,11.362,0.021,11.334,0.113,9.424,,0000,0,AABU,0000,                            ,,,,        ,
573956069112687488,573956069112687488,NGC0188 ,0.5053,0.0011,NGC0188      ,-9223372036854775808,-9223372036854775808,00422316+8520336 ,                   ,10.59616134520631,85.34271170940231,13.663923,14.213703,1046.0312,12.982101,1306.6266,0.5044366705840557,0.01072719,0.9576382,65193.73709071005,7.994012,415,13.651853,14.182543,12.971208,1849.8126,1884.757,1921.9752,1844.1208,1874.2568,1906.9027,6387804305630430517,,,0,6387804305630430517,22.1974,0.349,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,12.072,0.025,11.526,0.03,11.496,0.018,AAA,222,111,000,1,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
573941053907094144,573941053907094144,NGC0188 ,0.5053,0.0011,NGC0188      ,-9223372036854775808,-9223372036854775808,00452260+8512381 ,J004522.54+851238.2,11.344125013133093,85.21063945109067,13.778666,14.288041,73.299805,13.108028,109.03328,0.5008590359942713,0.012501607,0.9860141,58451.82575607212,160.72145,336,13.770371,14.265908,13.093483,1846.1597,1892.6664,1944.7809,1858.8241,1906.1184,1948.1599,6387804305630429859,,,0,6387804305630429859,20.1841,0.1064,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,12.167,0.027,11.676,0.029,11.551,0.021,AAA,222,111,000,1,11.483,0.023,11.53,0.022,11.379,0.134,9.07,,0000,0,AABU,0000,ASASSN-V J004522.63+851238.2,13.72,0.17,17.6635718,ROT     ,0.996
573941260065522304,573941260065522304,NGC0188 ,0.5053,0.0011,NGC0188      ,-9223372036854775808,-9223372036854775808,00475098+8513291 ,J004750.96+851329.1,11.962516949123218,85.22475169985451,14.48366,14.85243,620.99817,13.9579115,791.6225,0.536971955109572,0.016905183,1.0834278,30645.840099947378,6.824035,338,14.471438,14.829845,13.948131,1715.7635,1770.3604,1824.9668,1718.5919,1768.8073,1825.6208,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,13.355,0.029,13.034,0.036,12.963,0.028,AAA,222,111,000,1,12.928,0.023,12.978,0.025,12.582,0.403,9.224,,0000,0,AACU,0000,                            ,,,,        ,
573931536259609728,573931536259609728,NGC0188 ,0.5053,0.0011,NGC0188      ,-9223372036854775808,-9223372036854775808,00490486+8506575 ,                   ,12.270297555942337,85.11600035515548,14.590777,14.980937,556.4672,14.018697,947.1095,,,,24850.47253585658,183.09637,374,14.69903,14.955934,14.009074,,,,,,,6387804305630429455,,,0,6387804305630429455,20.8212,0.1633,1,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,13.384,0.044,13.037,0.045,12.984,0.03,AAA,222,111,000,1,,,,,,,,,    ,-2147483648,    ,    ,                            ,,,,        ,
