,dr2_source_id,dr3_source_id,Cluster,SimbadName_cluster,e_plx_cluster,plx_cluster,skymapper_id,sdss_id,twomass_id,allwise_id,panstarrs1,ra2000,dec2000,gmag,bpmag,rpmag,parallax,parallax_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_n_obs,gmag_edr3,bpmag_edr3,rpmag_edr3,r_lo_geo,r_med_geo,r_hi_geo,r_lo_photogeo,r_med_photogeo,r_hi_photogeo,objid_NUV,NUVmag,e_NUVmag,Nafl,objid_FUV,FUVmag,e_FUVmag,Fafl,psfMag_uSDSS,psfMagErr_uSDSS,psfMag_gSDSS,psfMagErr_gSDSS,psfMag_rSDSS,psfMagErr_rSDSS,psfMag_iSDSS,psfMagErr_iSDSS,psfMag_zSDSS,psfMagErr_zSDSS,u_flags,u_nimaflags,u_ngood,e_u_psf,u_psf,v_flags,v_nimaflags,v_ngood,e_v_psf,v_psf,g_flags,g_nimaflags,g_ngood,g_psf,e_g_psf,r_flags,r_nimaflags,r_ngood,r_psf,e_r_psf,i_flags,i_nimaflags,i_ngood,i_psf,e_i_psf,z_flags,z_nimaflags,z_ngood,z_psf,e_z_psf,object_01,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,ph_qual_1,rd_flg,bl_flg,cc_flg,use_src,designation,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,cc_flags,ext_flg,ph_qual_2,moon_lev,asassn_name,Mean Vmag_ASASSN,amplitude_ASASSN,period_ASASSN,Type_ASASSN,class_probability_ASASSN,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr,yMeanPSFMag,yMeanPSFMagErr
5,661156858841945856,661156858841945856,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667255068065870,08461546+1942329,J084615.43+194232.8,-9223372036854775808,131.56443687420966,19.709158519061493,8.3222065,8.455543,8.12241,5.4679291422433325,0.023893144,1.0116423,8737803.020754872,2122.9473,475,8.333861,8.443014,8.115634,181.05756,181.80818,182.48827,180.90353,181.70891,182.52063,6377706371515681628,12.9432,0.0043,17,6377706371515681628,15.0537,0.0166,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08461546+1942329,7.894,0.018,7.822,0.021,7.786,0.02,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,,,,,,,,,,,
9,661767843709723776,661767843709723776,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667107965829142,08452825+2023435,J084528.22+202343.2,-9223372036854775808,131.3677273238306,20.39538982800898,8.450657,8.603755,8.222289,5.573395753190734,0.02482584,1.0210836,7770138.386577122,2389.794,477,8.461295,8.590004,8.2139,177.31732,178.16971,179.14261,177.40396,178.25352,179.06042,-9223372036854775808,,,-32768,6377706360778262015,15.8284,0.0257,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08452825+2023435,8.012,0.023,7.906,0.017,7.864,0.021,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,,,,,,,,,,,
11,661199911596105600,661199911596105600,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667255067410540,08403296+1911395,J084032.93+191139.4,-9223372036854775808,130.137330308745,19.19432478187922,8.590657,8.747201,8.351403,5.534865049491854,0.033919808,1.0596844,6833316.283260492,2115.2834,261,8.600788,8.732945,8.344442,178.01735,179.39693,180.7517,178.18723,179.17555,180.06583,6377811898862144609,13.5982,0.0059,0,6377811898862144609,16.0484,0.0262,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08403296+1911395,8.083,0.035,7.994,0.024,7.964,0.015,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,ASASSN-V J084032.95+191139.9,9.0,1.1,,VAR     ,0.384,,,,,,,,,,
13,663386977661550336,663386977661550336,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237665097918972083,08215034+1929206,J082150.31+192920.5,-9223372036854775808,125.45974721405057,19.48907376622816,8.688203,8.854959,8.441169,5.3355846138637695,0.022044528,1.0952709,6249389.175553335,1778.093,341,8.697773,8.839641,8.431815,185.49562,186.2738,187.10565,185.43245,186.34457,187.06297,-9223372036854775808,,,-32768,6377776636274672784,16.0806,0.0303,256,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08215034+1929206,8.147,0.029,8.113,0.033,8.025,0.038,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,,,,,,,,,,,
19,659466222275521792,659466222275521792,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667211580801140,08394960+1820506,J083949.57+182050.6,-9223372036854775808,129.95664394666667,18.347429162624863,9.027759,9.219017,8.737976,5.334380785202341,0.024645975,0.9885714,4578740.78619708,931.60443,288,9.0355015,9.202791,8.733015,185.43855,186.18715,186.98894,185.48254,186.2206,187.13802,6377811899935888057,14.0487,0.0033,1,6377811899935888057,16.9372,0.0351,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08394960+1820506,8.436,0.027,8.288,0.026,8.279,0.026,AAA,111,111,000,1,J083949.57+182050.6,8.227,0.022,8.24,0.02,8.238,0.027,8.759,0.536,0000,0,AAAC,4644.0,,,,,,,,,,,,,,,,
21,661588004838893568,661588004838893568,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667255605395486,08493389+2030290,J084933.87+203028.9,-9223372036854775808,132.39125819660475,20.50808668712478,9.225971,9.442428,8.901782,5.490182962772139,0.017545098,0.8470001,3816785.308998463,608.0617,376,9.233123,9.427061,8.893361,180.22238,180.88464,181.47755,180.4408,180.91023,181.38876,6377706370441940000,13.4073,0.0053,0,6377706370441940000,17.9546,0.0684,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08493389+2030290,8.527,0.021,8.42,0.038,8.369,0.02,AAA,111,111,000,1,J084933.87+203028.9,8.321,0.023,8.347,0.021,8.361,0.026,8.087,,0000,0,AAAU,1122.0,,,,,,,,,,,,,,,,
27,611694572352053504,611694572352053504,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667429016731686,08533064+1659187,J085330.60+165918.6,128381333772746635,133.37764123336245,16.98854306192192,9.362293,9.581546,9.0312395,5.413953075890771,0.019205125,1.0973752,3365110.864734436,543.5712,465,9.369868,9.568541,9.025427,183.1724,183.87009,184.7125,182.8494,183.59232,184.20198,-9223372036854775808,,,-32768,6377811940738074011,18.4269,0.0901,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08533064+1659187,8.665,0.024,8.522,0.018,8.498,0.02,AAA,112,111,000,1,J085330.60+165918.6,8.429,0.023,8.461,0.02,8.449,0.026,8.211,,0000,0,AAAU,0.0,,,,,,,,,,,10.167200088500977,0.0010000000474974,,,,
28,661206577385260800,661206577385260800,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667107428171984,08395807+1912058,J083958.04+191205.7,-9223372036854775808,129.99194653651446,19.201630773082133,9.375362,9.601648,9.037168,5.460793461118429,0.023796212,0.81462526,3326480.004286458,611.1679,300,9.382404,9.585729,9.030169,181.23941,181.88002,182.58333,181.34833,182.09161,182.69252,6377811898862144750,14.0739,0.0073,17,6377811898862144750,18.4144,0.0772,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08395807+1912058,8.692,0.02,8.51,0.021,8.482,0.018,AAA,112,111,000,1,J083958.04+191205.7,8.441,0.022,8.459,0.02,8.526,0.041,8.008,,0000,0,AAAU,5744.0,ASASSN-V J083958.17+191205.9,9.54,0.4,327.961862,VAR     ,0.85,,,,,,,,,,
32,660954067666386944,660954067666386944,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667211581456414,08451801+1853254,,-9223372036854775808,131.32502604210583,18.89037119270661,9.509775,9.74317,9.161867,5.535352895340478,0.023327347,1.0136517,2940097.7326292708,458.35477,396,9.516462,9.728562,9.154241,178.86168,179.6529,180.37532,178.90808,179.51659,180.28381,6377811907452079156,13.8686,0.0069,0,6377811907452079156,18.8609,0.1082,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08451801+1853254,8.801,0.021,8.637,0.026,8.601,0.021,AAA,112,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,,,,,,,,,,,
37,658465872852222720,658465872852222720,Praesepe,Praesepe             ,0.003,5.371,-9223372036854775808,1237667252919337000,08380772+1703024,J083807.70+170302.2,-9223372036854775808,129.53219956845223,17.050666633352492,9.666489,9.905568,9.314571,5.297077109399424,0.017852124,1.0325636,2547282.495730979,473.0501,328,9.672174,9.888561,9.305388,187.0517,187.66191,188.45966,186.90918,187.5787,188.22847,6377811901009627915,14.1875,0.0034,0,6377811901009627915,19.3372,0.104,0,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,08380772+1703024,8.943,0.039,8.792,0.034,8.704,0.021,AAA,112,111,000,1,J083807.70+170302.2,8.678,0.023,8.711,0.02,8.696,0.036,8.073,0.316,0000,0,AAAB,5744.0,,,,,,,,,,,,,,,,
