dr2_source_id,dr3_source_id,Cluster,SimbadName_cluster,e_plx_cluster,plx_cluster,skymapper_id,sdss_id,twomass_id,allwise_id,panstarrs1,ra2000,dec2000,gmag,bpmag,rpmag,parallax,parallax_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_n_obs,gmag_edr3,bpmag_edr3,rpmag_edr3,r_lo_geo,r_med_geo,r_hi_geo,r_lo_photogeo,r_med_photogeo,r_hi_photogeo,objid_NUV,NUVmag,e_NUVmag,Nafl,objid_FUV,FUVmag,e_FUVmag,Fafl,psfMag_uSDSS,psfMagErr_uSDSS,psfMag_gSDSS,psfMagErr_gSDSS,psfMag_rSDSS,psfMagErr_rSDSS,psfMag_iSDSS,psfMagErr_iSDSS,psfMag_zSDSS,psfMagErr_zSDSS,u_flags,u_nimaflags,u_ngood,e_u_psf,u_psf,v_flags,v_nimaflags,v_ngood,e_v_psf,v_psf,g_flags,g_nimaflags,g_ngood,g_psf,e_g_psf,r_flags,r_nimaflags,r_ngood,r_psf,e_r_psf,i_flags,i_nimaflags,i_ngood,i_psf,e_i_psf,z_flags,z_nimaflags,z_ngood,z_psf,e_z_psf,object_01,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,ph_qual_1,rd_flg,bl_flg,cc_flg,use_src,designation,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,cc_flags,ext_flg,ph_qual_2,moon_lev,asassn_name,Mean Vmag_ASASSN,amplitude_ASASSN,period_ASASSN,Type_ASASSN,class_probability_ASASSN,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr,yMeanPSFMag,yMeanPSFMagErr
249021589646744704,249021589646744704,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03362936+4811333,,-9223372036854775808,54.122415553104304,48.1926345572019,4.112029,4.1227446,4.1291676,5.963529509467854,0.13312224,0.78599393,422360044.18680966,398534.03,309,4.12316,4.1118474,4.1070952,162.9958,166.91212,170.54474,163.5357,167.09583,170.25247,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03362936+4811333,4.316,0.256,4.153,0.027,4.107,0.264,DED,313,111,000,1,,,,,,,,,,,-2147483648,,,ASASSN-V J033629.09+481133.6,4.92,0.77,,GCAS    ,0.303,,,,,,,,,,
441416161501150848,441416161501150848,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,,J032803.09+490346.1,-9223372036854775808,52.01279483428029,49.062868278862375,4.9245744,4.9169083,5.030948,5.677484713118972,0.1247867,1.1478587,196449103.02003533,185311.39,297,4.9542418,4.9081516,5.0241265,171.4969,175.11372,179.42632,171.72144,175.30609,178.28624,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,,,,,,,,,-32768,-32768,,-32768,,,,,,,,,,,-2147483648,,,,,,,,,,,,,,,,,,
442501619995081088,442501619995081088,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03190764+5005420,,-9223372036854775808,49.78183035313556,50.09496937872619,4.995555,4.990631,5.0631595,5.765340709952374,0.08922754,0.93642473,186721371.46966967,120974.68,394,5.009382,4.980562,5.0390844,170.06215,172.75626,175.07074,170.38837,172.3133,174.96039,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03190764+5005420,5.092,0.019,5.153,0.034,5.196,0.018,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,,,,,,,,,,,
442550823139950080,442550823139950080,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03183775+5013200,J031837.78+501319.5,-9223372036854775808,49.65725705299778,50.22217630491041,5.0999603,5.099021,5.1760964,5.532595316382714,0.080933616,0.80162233,168005058.09481606,107289.72,391,5.124061,5.0899043,5.150276,176.3621,179.38768,182.0459,176.0463,179.15108,181.82875,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03183775+5013200,5.238,0.018,5.316,0.024,5.326,0.02,EAA,111,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,,,,,,,,,,,
441641698824102528,441641698824102528,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,,,-9223372036854775808,50.80498773599622,49.21327078277447,5.2751575,5.270684,5.3602157,5.681716351227562,0.083614565,0.84581125,143230944.06551418,124740.01,270,5.2972746,5.258018,5.3402457,172.08002,174.72398,177.34924,172.3971,174.6246,177.60365,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,,,,,,,,,-32768,-32768,,-32768,,,,,,,,,,,-2147483648,,,ASASSN-V J032313.29+491247.6,6.16,0.82,,VAR     ,0.33,,,,,,,,,,
441592667477558912,441592667477558912,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03285232+4950541,J032852.35+495053.6,-9223372036854775808,52.21803296549503,49.84838556299573,5.5317554,5.534526,5.5717115,5.786016057652028,0.10386066,1.6216003,113389863.6153176,64172.22,493,5.5509315,5.5249405,5.552907,168.23917,171.25288,174.47438,168.67783,171.44571,174.63051,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03285232+4950541,5.596,0.024,5.68,0.04,5.654,0.016,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,ASASSN-V J032852.21+495055.9,6.4,0.73,,VAR     ,0.344,,,,,,,,,,
441463612299313408,441463612299313408,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03255737+4907148,J032557.39+490714.5,-9223372036854775808,51.48909185855295,49.12075830155415,6.0592294,6.0321193,6.133453,6.095926170707696,0.044435535,0.8694615,70403889.80933015,58421.35,285,6.068375,6.017674,6.1156387,161.87247,162.97238,164.10538,161.80307,163.1915,164.34555,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03255737+4907148,6.198,0.021,6.274,0.016,6.309,0.016,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,ASASSN-V J032557.19+490713.5,6.93,0.48,557.9977626,VAR     ,0.738,,,,,,,,,,
242889338420659968,242889338420659968,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,1237670962171281620,03292627+4656162,,-9223372036854775808,52.359526945487545,46.93786616321553,6.1632094,6.2447844,6.033391,6.080065841601781,0.031241449,0.96746707,63662180.65434375,16751.234,366,6.1776633,6.236502,6.0254483,162.65599,163.34727,164.00507,162.254,163.23415,163.94484,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03292627+4656162,5.875,0.03,5.902,0.059,5.903,0.021,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,,,,,,,,,,,
248960223149560960,248960223149560960,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03313314+4751447,J033133.15+475144.4,-9223372036854775808,52.8880683912253,47.862416789845746,6.742422,6.7530518,6.7555523,5.7803053177316785,0.045015287,0.8386221,37321526.61363173,13387.899,278,6.757468,6.737034,6.747827,170.88992,172.28993,173.42197,170.7521,172.0559,173.36702,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03313314+4751447,6.722,0.018,6.754,0.033,6.766,0.02,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,,,,,,,,,,,
249197408428902144,249197408428902144,alphaPer,alpha Per cluster    ,0.005,5.718,-9223372036854775808,-9223372036854775808,03270515+4812198,J032705.19+481219.5,-9223372036854775808,51.77153359311038,48.20550795170285,6.814468,6.834357,6.818004,5.697889673793947,0.038843066,0.9202954,34857073.54924642,12632.131,289,6.83164,6.8196015,6.8078527,173.07845,174.33252,175.53671,173.26607,174.24689,175.31624,-9223372036854775808,,,-32768,-9223372036854775808,,,-32768,,,,,,,,,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,-32768,-2147483648,-32768,,,03270515+4812198,6.752,0.018,6.849,0.034,6.796,0.016,AAA,111,111,000,1,,,,,,,,,,,-2147483648,,,,,,,,,,,,,,,,,,
