dr2_source_id,dr3_source_id,Cluster,SimbadName_cluster,e_plx_cluster,plx_cluster,skymapper_id,sdss_id,twomass_id,allwise_id,panstarrs1,ra2000,dec2000,gmag,bpmag,rpmag,parallax,parallax_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_n_obs,gmag_edr3,bpmag_edr3,rpmag_edr3,r_lo_geo,r_med_geo,r_hi_geo,r_lo_photogeo,r_med_photogeo,r_hi_photogeo,objid_NUV,NUVmag,e_NUVmag,Nafl,objid_FUV,FUVmag,e_FUVmag,Fafl,psfMag_uSDSS,psfMagErr_uSDSS,psfMag_gSDSS,psfMagErr_gSDSS,psfMag_rSDSS,psfMagErr_rSDSS,psfMag_iSDSS,psfMagErr_iSDSS,psfMag_zSDSS,psfMagErr_zSDSS,u_flags,u_nimaflags,u_ngood,e_u_psf,u_psf,v_flags,v_nimaflags,v_ngood,e_v_psf,v_psf,g_flags,g_nimaflags,g_ngood,g_psf,e_g_psf,r_flags,r_nimaflags,r_ngood,r_psf,e_r_psf,i_flags,i_nimaflags,i_ngood,i_psf,e_i_psf,z_flags,z_nimaflags,z_ngood,z_psf,e_z_psf,object_01,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,ph_qual_1,rd_flg,bl_flg,cc_flg,use_src,designation,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,cc_flags,ext_flg,ph_qual_2,moon_lev,asassn_name,Mean Vmag_ASASSN,amplitude_ASASSN,period_ASASSN,Type_ASASSN,class_probability_ASASSN,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr,yMeanPSFMag,yMeanPSFMagErr
2320979852649326336,2320979852649326336,Blanco1,Blanco1,0.003,4.216,9659276.0,,00042290-2922535,J000422.91-292253.5,,1.0954472511420723,-29.38157170136849,7.745397,7.732877,7.802362,4.27002822487269,0.042711496,1.0694968,14875051.623578172,5546.6396,295,7.756221,7.716756,7.793383,230.39651,232.73634,234.96184,230.61359,232.73259,234.78738,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,00042290-2922535,7.858,0.021,7.915,0.034,7.908,0.018,AAA,111.0,111.0,000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2320926178443221888,2320926178443221888,Blanco1,Blanco1,0.003,4.216,9658975.0,,00045082-2937589,J000450.83-293758.8,,1.2117653490700433,-29.633039128048956,8.280722,8.28343,8.289516,4.29781903717103,0.034082532,0.9530358,9072056.521088844,3310.727,321,8.293102,8.267602,8.278873,229.33337,231.65683,233.78134,229.06282,230.77641,232.65866,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0105,9.3285,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,00045082-2937589,8.275,0.018,8.325,0.029,8.273,0.022,AAA,112.0,111.0,000,1.0,J000450.83-293758.8,8.235,0.022,8.278,0.019,8.26,0.02,8.222,0.278,0000,0.0,AAAB,0.0,,,,,,,,,,,,,,,,
2320610721685102336,2320610721685102336,Blanco1,Blanco1,0.003,4.216,9653635.0,,00045333-3015238,J000453.34-301523.7,,1.2222139665079117,-30.256606898404293,8.297793,8.320959,8.286374,4.234082627588487,0.03967663,1.1241841,8949282.367515903,3135.5747,302,8.307897,8.307543,8.28037,232.10953,234.66971,237.16736,233.01268,235.39758,237.05803,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.0108,9.4541,0.0,0.0,2.0,0.0206,8.7243,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,00045333-3015238,8.276,0.023,8.289,0.034,8.271,0.027,AAA,111.0,111.0,000,1.0,J000453.34-301523.7,8.226,0.024,8.252,0.02,8.23,0.024,8.198,0.265,0000,0.0,AAAB,0.0,,,,,,,,,,,,,,,,
2320850144638182912,2320850144638182912,Blanco1,Blanco1,0.003,4.216,9651337.0,,00005533-3003510,J000055.35-300350.9,,0.2305747433214734,-30.064167406442124,8.403922,8.423041,8.4004755,4.294701538457557,0.033516407,0.9633983,8127858.716188044,3514.1711,294,8.412427,8.408457,8.392923,229.85187,231.5582,233.21469,229.27316,231.1603,233.06393,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0105,9.5198,0.0,0.0,1.0,0.0105,8.8069,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,00005533-3003510,8.343,0.023,8.407,0.033,8.355,0.031,AAA,111.0,111.0,000,1.0,J000055.35-300350.9,8.364,0.022,8.38,0.019,8.242,0.023,7.552,0.143,0000,0.0,AAAB,11.0,,,,,,,,,,,,,,,,
2320791355125856128,2320791355125856128,Blanco1,Blanco1,0.003,4.216,9651904.0,,00025522-3008592,J000255.24-300859.1,,0.7301141601742024,-30.14977328831469,8.415258,8.433264,8.41465,4.362802619642399,0.033103857,0.961165,8029478.836900423,2243.6252,289,8.425649,8.419432,8.409265,225.81035,228.02916,230.13327,226.11143,227.47281,228.95505,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,0.0106,9.5379,0.0,1.0,1.0,0.0112,8.8196,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,00025522-3008592,8.377,0.019,8.428,0.021,8.427,0.025,AAA,112.0,111.0,000,1.0,J000255.24-300859.1,8.382,0.023,8.409,0.02,8.419,0.023,8.165,0.215,0000,0.0,AAAB,11.0,,,,,,,,,,,,,,,,
2320543106016065920,2320543106016065920,Blanco1,Blanco1,0.003,4.216,9653068.0,,00070780-3033415,J000707.82-303341.5,,1.7825288875568577,-30.56156772322873,8.6509285,8.684259,8.614401,4.229223653096577,0.032601632,1.0270748,6479549.790822883,1954.5233,286,8.6585045,8.671488,8.60719,233.08624,235.00662,236.90338,233.37047,235.1401,236.75148,,,,,6.38076743014102e+18,12.1371,0.0046,0.0,,,,,,,,,,,0.0,0.0,2.0,0.0075,9.8573,0.0,0.0,2.0,0.0074,9.1231,,,0.0,,,,,0.0,,,0.0,0.0,1.0,8.9893,0.0105,0.0,0.0,1.0,9.1406,0.0105,00070780-3033415,8.538,0.021,8.559,0.04,8.538,0.021,AAA,112.0,111.0,000,1.0,J000707.82-303341.5,8.504,0.023,8.542,0.02,8.547,0.027,8.442,0.325,0000,0.0,AAAB,0.0,,,,,,,,,,,,,,,,
2314758575341270912,2314758575341270912,Blanco1,Blanco1,0.003,4.216,9650019.0,,00020412-3041068,J000204.14-304106.7,,0.517193968282242,-30.685229140174616,8.9657955,9.024905,8.890359,4.128791564649313,0.028444882,1.2997452,4863127.554545421,1500.2804,277,8.9700775,9.006498,8.88084,239.43282,240.6614,242.43018,238.51875,240.97125,242.5661,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.0076,10.2316,0.0,0.0,2.0,0.0077,9.5112,0.0,0.0,1.0,8.9246,0.0105,,,0.0,,,0.0,0.0,1.0,9.2557,0.0105,0.0,0.0,1.0,9.3779,0.0105,00020412-3041068,8.772,0.02,8.751,0.02,8.715,0.019,AAA,122.0,111.0,000,1.0,J000204.14-304106.7,8.71,0.021,8.731,0.02,8.71,0.025,8.541,,0000,0.0,AAAU,11.0,,,,,,,,,,,,,,,,
2320702191604400384,2320702191604400384,Blanco1,Blanco1,0.003,4.216,9661534.0,,00080190-3001540,J000801.91-300153.9,,2.007920537288957,-30.03168330057652,9.699625,9.865508,9.453842,4.203252607599421,0.019277088,1.1107733,2470671.142672238,1102.5765,325,9.70533,9.849237,9.442319,235.2273,236.44987,237.48357,235.64467,236.59448,237.53381,,,,,,,,,,,,,,,,,,,0.0,3.0,7.0,0.0069,11.098,0.0,0.0,3.0,0.0106,10.4839,0.0,0.0,2.0,9.7642,0.0095,0.0,0.0,2.0,9.7443,0.0103,0.0,0.0,2.0,9.7965,0.0074,0.0,0.0,2.0,9.8845,0.0079,00080190-3001540,9.193,0.026,9.073,0.022,9.038,0.019,AAA,122.0,111.0,000,1.0,J000801.91-300153.9,8.991,0.023,9.013,0.021,9.003,0.03,8.505,0.29,0000,0.0,AAAB,0.0,,,,,,,,,,,,,,,,
2320902062202556544,2320902062202556544,Blanco1,Blanco1,0.003,4.216,9658131.0,,00054296-2957381,J000542.97-295738.2,,1.428987580578808,-29.960627311371688,9.8398,10.020376,9.570052,4.228891676652394,0.01743782,0.96197367,2167948.719964696,1064.3011,325,9.847244,10.005308,9.561047,234.25072,235.21333,236.23184,234.49506,235.41328,236.57979,,,,,,,,,,,,,,,,,,,0.0,1.0,5.0,0.0048,11.2369,0.0,4.0,5.0,0.0107,10.685,0.0,0.0,2.0,9.917,0.0075,0.0,0.0,2.0,9.8781,0.0149,0.0,0.0,2.0,9.9304,0.0289,0.0,0.0,2.0,9.9934,0.0074,00054296-2957381,9.31,0.024,9.168,0.027,9.122,0.023,AAA,222.0,111.0,000,1.0,J000542.97-295738.2,9.057,0.023,9.06,0.02,9.069,0.031,8.273,,0000,1.0,AAAU,0.0,,,,,,,,,,,,,,,,
2326849251877903360,2326849251877903360,Blanco1,Blanco1,0.003,4.216,3115321.0,,23582010-3016514,J235820.11-301651.4,,359.5837648334532,-30.280970254099067,9.968358,10.161831,9.671827,4.3306926080293495,0.015104171,0.9722277,1932169.87485349,487.09702,271,9.972254,10.149155,9.661334,229.15062,230.05032,230.61949,229.02348,229.67572,230.49413,,,,,,,,,,,,,,,,,,,0.0,0.0,4.0,0.0097,11.3285,0.0,0.0,4.0,0.0053,10.8204,0.0,1.0,3.0,10.082,0.0064,0.0,0.0,3.0,10.0014,0.0061,0.0,2.0,2.0,10.023,0.0075,0.0,4.0,3.0,10.0906,0.0061,23582010-3016514,9.424,0.02,9.181,0.026,9.194,0.024,AAA,122.0,111.0,000,1.0,J235820.11-301651.4,9.142,0.022,9.168,0.02,9.059,0.031,8.348,0.303,0000,0.0,AAAB,11.0,,,,,,,,,,,,,,,,
