dr2_source_id,dr3_source_id,Cluster,SimbadName_cluster,e_plx_cluster,plx_cluster,skymapper_id,sdss_id,twomass_id,allwise_id,panstarrs1,ra2000,dec2000,gmag,bpmag,rpmag,parallax,parallax_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_n_obs,gmag_edr3,bpmag_edr3,rpmag_edr3,r_lo_geo,r_med_geo,r_hi_geo,r_lo_photogeo,r_med_photogeo,r_hi_photogeo,objid_NUV,NUVmag,e_NUVmag,Nafl,objid_FUV,FUVmag,e_FUVmag,Fafl,psfMag_uSDSS,psfMagErr_uSDSS,psfMag_gSDSS,psfMagErr_gSDSS,psfMag_rSDSS,psfMagErr_rSDSS,psfMag_iSDSS,psfMagErr_iSDSS,psfMag_zSDSS,psfMagErr_zSDSS,u_flags,u_nimaflags,u_ngood,e_u_psf,u_psf,v_flags,v_nimaflags,v_ngood,e_v_psf,v_psf,g_flags,g_nimaflags,g_ngood,g_psf,e_g_psf,r_flags,r_nimaflags,r_ngood,r_psf,e_r_psf,i_flags,i_nimaflags,i_ngood,i_psf,e_i_psf,z_flags,z_nimaflags,z_ngood,z_psf,e_z_psf,object_01,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,ph_qual_1,rd_flg,bl_flg,cc_flg,use_src,designation,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,cc_flags,ext_flg,ph_qual_2,moon_lev,asassn_name,Mean Vmag_ASASSN,amplitude_ASASSN,period_ASASSN,Type_ASASSN,class_probability_ASASSN,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr,yMeanPSFMag,yMeanPSFMagErr
3307650109600736000,3307650109600736000,Hyades,Hyades,0.065,21.052,,,04285014+1302510,,,67.2090150887366,13.047601999614228,4.951238,5.09097,4.815411,20.7158275616805,0.08992032,1.1548831,192793166.9767716,108527.81,434,4.974638,5.0783997,4.794417,47.995434,48.195564,48.395115,48.02068,48.23094,48.434906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04285014+1302510,4.793,,4.656,,4.534,,CCA,331.0,111.0,000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3311883817778820480,3311883817778820480,Hyades,Hyades,0.065,21.052,,,04203630+1505436,J042036.38+150543.4,,65.1512931840217,15.095452823513606,5.179711,5.326111,5.018337,21.089906328443732,0.11995638,1.0272727,156377872.89656568,131476.58,171,5.2019286,5.3175683,5.0015855,47.139896,47.368805,47.737274,47.117207,47.368553,47.617954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04203630+1505436,4.75,,4.973,,4.689,,EDA,131.0,111.0,000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3292227607891547264,3292227607891547264,Hyades,Hyades,0.065,21.052,,,04390614+0752155,J043906.23+075215.4,,69.77566257788392,7.870987058993137,5.307923,5.459247,5.124487,20.63072383367189,0.091687545,1.0437951,139776738.7730617,69529.62,386,5.3237796,5.4469066,5.107708,48.168407,48.368423,48.551865,48.223034,48.42518,48.609295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04390614+0752155,5.18,,4.928,,4.808,,DAA,311.0,111.0,000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3307782570688378496,3307782570688378496,Hyades,Hyades,0.065,21.052,,,04303734+1343275,J043037.43+134327.8,,67.6556788513245,13.724402314715032,5.326475,5.4836016,5.123664,21.491451797641616,0.073748454,0.9745147,137630311.07808656,77805.305,365,5.3405814,5.4720016,5.1040516,46.268684,46.436825,46.64564,46.303646,46.429363,46.589695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04303734+1343275,5.221,,4.834,,4.748,,DEE,311.0,111.0,000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3312628358950130176,3312628358950130176,Hyades,Hyades,0.065,21.052,,,04303886+1541309,,,67.66203799715774,15.691877897492349,5.4101787,5.5468116,5.225123,21.86843191355519,0.070041776,1.1170361,128207025.73323856,70884.02,296,5.4175873,5.5338874,5.20475,45.51994,45.67138,45.809914,45.444885,45.638706,45.777206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04303886+1541309,5.458,,4.967,,4.903,,DEA,311.0,111.0,000,1.0,,,,,,,,,,,,,,ASASSN-V J043038.92+154130.8,6.05,0.7,,YSO,0.332,,,,,,,,,,
3397032128539658368,3397032128539658368,Hyades,Hyades,0.065,21.052,,,05370373+1702253,,,84.2655648778103,17.04032715905991,5.4679,5.608886,5.2893705,19.39928413827805,0.07467796,0.9735197,121136755.78997684,73034.35,305,5.479177,5.5893936,5.272908,51.234467,51.406124,51.60631,51.231716,51.41458,51.62076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05370373+1702253,5.062,,5.002,,4.935,,EAA,111.0,111.0,000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3313842529024545664,3313842529024545664,Hyades,Hyades,0.065,21.052,,,04232504+1646382,J042325.15+164638.0,,65.8544336330034,16.777264120555902,5.563784,5.72641,5.340336,20.79504603398395,0.07085363,1.2823561,111008404.9201836,49796.816,410,5.573977,5.7164,5.3160176,47.870964,48.042007,48.18902,47.87152,48.01241,48.147015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04232504+1646382,5.04,,5.009,,4.945,,EEA,111.0,111.0,000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3284773915487855488,3284773915487855488,Hyades,Hyades,0.065,21.052,,1.2376734521621217e+18,04112030+0531228,,,62.8345093312804,5.523052222115986,5.6065335,5.8130393,5.330646,26.63447490135773,0.05245438,0.8929142,106111861.24185766,57369.273,289,5.622957,5.800523,5.3088074,37.40993,37.477306,37.556602,37.40455,37.483482,37.570026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04112030+0531228,5.062,,4.995,,4.821,,EEA,111.0,111.0,000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145391484855481344,145391484855481344,Hyades,Hyades,0.065,21.052,,,04280078+2137117,J042800.85+213711.2,,67.00326165240412,21.61990296141524,5.6432056,5.798594,5.430776,20.15881676146232,0.05548979,0.9711737,102805912.7714222,42692.504,364,5.6573215,5.7874646,5.4138436,49.35987,49.504044,49.630238,49.328156,49.495037,49.6384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04280078+2137117,5.163,,5.103,,5.055,,EAA,111.0,111.0,000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49729231594420096,49729231594420096,Hyades,Hyades,0.065,21.052,,,04004874+1811383,J040048.87+181138.0,,60.20319248034305,18.19400140845018,5.790159,5.972767,5.5273857,21.85669141594702,0.042020794,1.015157,89810576.71699959,36665.633,372,5.804048,5.9629292,5.515528,45.5606,45.663815,45.76339,45.597485,45.685665,45.76194,,,,,6.376967493259362e+18,13.4786,0.007,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04004874+1811383,5.236,,5.077,,5.047,,EAA,111.0,111.0,000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
