dr2_source_id,dr3_source_id,Cluster,SimbadName_cluster,e_plx_cluster,plx_cluster,skymapper_id,sdss_id,twomass_id,allwise_id,panstarrs1,ra2000,dec2000,gmag,bpmag,rpmag,parallax,parallax_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_n_obs,gmag_edr3,bpmag_edr3,rpmag_edr3,r_lo_geo,r_med_geo,r_hi_geo,r_lo_photogeo,r_med_photogeo,r_hi_photogeo,objid_NUV,NUVmag,e_NUVmag,Nafl,objid_FUV,FUVmag,e_FUVmag,Fafl,psfMag_uSDSS,psfMagErr_uSDSS,psfMag_gSDSS,psfMagErr_gSDSS,psfMag_rSDSS,psfMagErr_rSDSS,psfMag_iSDSS,psfMagErr_iSDSS,psfMag_zSDSS,psfMagErr_zSDSS,u_flags,u_nimaflags,u_ngood,e_u_psf,u_psf,v_flags,v_nimaflags,v_ngood,e_v_psf,v_psf,g_flags,g_nimaflags,g_ngood,g_psf,e_g_psf,r_flags,r_nimaflags,r_ngood,r_psf,e_r_psf,i_flags,i_nimaflags,i_ngood,i_psf,e_i_psf,z_flags,z_nimaflags,z_ngood,z_psf,e_z_psf,object_01,j_m,j_msigcom,h_m,h_msigcom,k_m,k_msigcom,ph_qual_1,rd_flg,bl_flg,cc_flg,use_src,designation,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,cc_flags,ext_flg,ph_qual_2,moon_lev,asassn_name,Mean Vmag_ASASSN,amplitude_ASASSN,period_ASASSN,Type_ASASSN,class_probability_ASASSN,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr,yMeanPSFMag,yMeanPSFMagErr
249021589646744704,249021589646744704,alphaPer,alpha Per cluster,0.005,5.718,,,03362936+4811333,,,54.122415553104304,48.1926345572019,4.112029,4.1227446,4.1291676,5.963529509467854,0.13312224,0.78599393,422360044.18680966,398534.03,309,4.12316,4.1118474,4.1070952,162.9958,166.91212,170.54474,163.5357,167.09583,170.25247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03362936+4811333,4.316,0.256,4.153,0.027,4.107,0.264,DED,313.0,111.0,000,1.0,,,,,,,,,,,,,,ASASSN-V J033629.09+481133.6,4.92,0.77,,GCAS,0.303,,,,,,,,,,
441416161501150848,441416161501150848,alphaPer,alpha Per cluster,0.005,5.718,,,,J032803.09+490346.1,,52.01279483428029,49.062868278862375,4.9245744,4.9169083,5.030948,5.677484713118972,0.1247867,1.1478587,196449103.02003533,185311.39,297,4.9542418,4.9081516,5.0241265,171.4969,175.11372,179.42632,171.72144,175.30609,178.28624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442501619995081088,442501619995081088,alphaPer,alpha Per cluster,0.005,5.718,,,03190764+5005420,,,49.78183035313556,50.09496937872619,4.995555,4.990631,5.0631595,5.765340709952374,0.08922754,0.93642473,186721371.46966967,120974.68,394,5.009382,4.980562,5.0390844,170.06215,172.75626,175.07074,170.38837,172.3133,174.96039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03190764+5005420,5.092,0.019,5.153,0.034,5.196,0.018,AAA,111.0,111.0,000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442550823139950080,442550823139950080,alphaPer,alpha Per cluster,0.005,5.718,,,03183775+5013200,J031837.78+501319.5,,49.65725705299778,50.22217630491041,5.0999603,5.099021,5.1760964,5.532595316382714,0.080933616,0.80162233,168005058.09481606,107289.72,391,5.124061,5.0899043,5.150276,176.3621,179.38768,182.0459,176.0463,179.15108,181.82875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03183775+5013200,5.238,0.018,5.316,0.024,5.326,0.02,EAA,111.0,111.0,000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441641698824102528,441641698824102528,alphaPer,alpha Per cluster,0.005,5.718,,,,,,50.80498773599622,49.21327078277447,5.2751575,5.270684,5.3602157,5.681716351227562,0.083614565,0.84581125,143230944.06551418,124740.01,270,5.2972746,5.258018,5.3402457,172.08002,174.72398,177.34924,172.3971,174.6246,177.60365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASASSN-V J032313.29+491247.6,6.16,0.82,,VAR,0.33,,,,,,,,,,
242889338420659968,242889338420659968,alphaPer,alpha Per cluster,0.005,5.718,,1.2376709621712817e+18,03292627+4656162,,,52.359526945487545,46.93786616321553,6.1632094,6.2447844,6.033391,6.080065841601781,0.031241449,0.96746707,63662180.65434375,16751.234,366,6.1776633,6.236502,6.0254483,162.65599,163.34727,164.00507,162.254,163.23415,163.94484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03292627+4656162,5.875,0.03,5.902,0.059,5.903,0.021,AAA,111.0,111.0,000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248960223149560960,248960223149560960,alphaPer,alpha Per cluster,0.005,5.718,,,03313314+4751447,J033133.15+475144.4,,52.8880683912253,47.86241678984575,6.742422,6.7530518,6.7555523,5.780305317731679,0.045015287,0.8386221,37321526.61363173,13387.899,278,6.757468,6.737034,6.747827,170.88992,172.28993,173.42197,170.7521,172.0559,173.36702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03313314+4751447,6.722,0.018,6.754,0.033,6.766,0.02,AAA,111.0,111.0,000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249197408428902144,249197408428902144,alphaPer,alpha Per cluster,0.005,5.718,,,03270515+4812198,J032705.19+481219.5,,51.77153359311038,48.20550795170285,6.814468,6.834357,6.818004,5.697889673793947,0.038843066,0.9202954,34857073.54924642,12632.131,289,6.83164,6.8196015,6.8078527,173.07845,174.33252,175.53671,173.26607,174.24689,175.31624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03270515+4812198,6.752,0.018,6.849,0.034,6.796,0.016,AAA,111.0,111.0,000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445951990562023040,445951990562023040,alphaPer,alpha Per cluster,0.005,5.718,,,03114289+5209486,J031142.93+520948.1,,47.92875833311275,52.16346247425462,6.857275,6.889847,6.8372188,5.650026554472418,0.030471658,0.97034866,33563130.93667416,10734.816,421,6.8727107,6.873466,6.8277764,175.11769,176.0267,176.81187,175.1884,176.08195,176.86453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03114289+5209486,6.806,0.035,6.829,0.021,6.831,0.021,AAA,111.0,111.0,000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441582119038093568,441582119038093568,alphaPer,alpha Per cluster,0.005,5.718,,,03273895+4935597,J032738.98+493559.4,,51.91237465347901,49.59991886083628,6.9125996,6.922114,6.9334183,5.728326841742001,0.035744853,0.88128805,31898354.83004476,9462.694,497,6.927946,6.9059863,6.930574,172.02896,173.17142,174.41586,172.48183,173.50793,174.45813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03273895+4935597,6.892,0.023,6.986,0.024,6.959,0.023,AAA,111.0,111.0,000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
